,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
8899,Plus One,2019,Not Rated,99,Comedy,"Jeff Chan, Andrew Rhymer","Jeff Chan, Andrew Rhymer","Maya Erskine, Jack Quaid, Ed Begley Jr., Alex Anfanger","In order to survive a summer of wedding fever, longtime single friends, Ben and Alice, agree to be each other's plus one at every wedding they've been invited to.",English,USA,Other Win,66.0,6.6,4614,1,0.0,RLJE Films,12.0,small,1
8901,Swallow,2019,R,94,Drama,Carlo Mirabella-Davis,Carlo Mirabella-Davis,"Haley Bennett, Austin Stowell, Denis O'Hare, Elizabeth Marvel","Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",English,"France, USA",Other Win,61.0,6.9,360,1,0.0,IFC Films,127.0,big,1
8903,Tolkien,2019,PG-13,112,Biography,Dome Karukoski,"David Gleeson, Stephen Beresford","Nicholas Hoult, Al Bollands, Kallum Tolkien, Craig Roberts","The formative years of the orphaned author J.R.R. Tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.","English, Middle English, Old English, Latin, German",USA,,48.0,6.8,20787,1,0.0,Fox Searchlight Pictures,23.0,small,0
8904,After Class,2019,Not Rated,93,Comedy,Daniel Schechter,Daniel Schechter,"Justin Long, Fran Drescher, Richard Schiff, Kate Berlant",An NYC professor spends a week re-connecting with his family while defending his reputation over controversial behavior at his college.,English,USA,Other Win,71.0,5.2,139,1,0.0,Gravitas Ventures,35.0,big,1
8910,Pokémon Detective Pikachu,2019,PG,104,Action,Rob Letterman,"Dan Hernandez (screenplay by), Benji Samit (screenplay by), Rob Letterman (screenplay by), Derek Connolly (screenplay by), Dan Hernandez (story by), Benji Samit (story by), Nicole Perlman (story by), Satoshi Tajiri (based on ""Pokémon"" created by), Ken Sugimori (based on ""Pokémon"" created by), Junichi Masuda (based on ""Pokémon"" created by), Hiroyuki Jinnai (original creator: Detective Pikachu)","Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",English,"USA, Japan, UK, Canada",Nomination,53.0,6.6,109970,1,0.0,Warner Bros. Pictures,138.0,big,0
8911,The Intruder,2019,PG-13,102,Drama,Deon Taylor,David Loughery,"Michael Ealy, Joseph Sikora, Meagan Good, Alvina August","A young married couple buys a beautiful house on several acres of land, only to find out that the man they bought it from refuses to let go of the property.",English,"USA, Canada",,39.0,5.5,8779,1,0.0,Screen Gems,12.0,small,0
8912,Bolden,2019,R,108,Drama,Dan Pritzker,"Dan Pritzker (screenplay), Dan Pritzker (story), David Rothschild (screenplay)","Gary Carr, Erik LaRay Harvey, Ian McShane, Michael Rooker","A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.",English,USA,Nomination,50.0,5.6,313,0,0.0,Abramorama,3.0,small,0
8914,A Dog's Journey,2019,PG,109,Comedy,Gail Mancuso,"W. Bruce Cameron (screenplay by), Cathryn Michon (screenplay by), Maya Forbes (screenplay by), Wallace Wolodarsky (screenplay by), W. Bruce Cameron (based on the novel by)","Josh Gad, Dennis Quaid, Kathryn Prescott, Marg Helgenberger",A dog finds the meaning of his own existence through the lives of the humans he meets.,English,"China, India, Hong Kong, USA",Nomination,43.0,7.4,11721,1,0.0,Universal Pictures,123.0,big,0
8915,See You Yesterday,2019,TV-MA,84,Action,Stefon Bristol,"Fredrica Bailey, Stefon Bristol","Eden Duncan-Smith, Dante Crichlow, Astro, Marsha Stephanie Blake","Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.",English,USA,Other Win,74.0,5.0,7198,1,0.0,Netflix,93.0,big,1
8919,The Hustle,2019,PG-13,93,Comedy,Chris Addison,"Stanley Shapiro (screenplay by), Paul Henning (screenplay by), Dale Launer (screenplay by), Jac Schaeffer (screenplay by), Stanley Shapiro (story by), Paul Henning (story by), Dale Launer (story by)","Timothy Simons, Rebel Wilson, Douggie McMeekin, Ashley McGuire",Two con women - one low rent and the other high class - team up to take down the men who have wronged them.,"English, German, Dutch, Danish, French, Sign Languages",USA,Other Win,35.0,5.4,30562,1,0.0,MGM,8.0,small,0
8922,Wine Country,2019,R,103,Comedy,Amy Poehler,"Liz Cackowski, Emily Spivey","Amy Poehler, Rachel Dratch, Ana Gasteyer, Maya Rudolph","During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler.",English,USA,Nomination,56.0,5.4,15414,1,0.0,Netflix,93.0,big,0
8924,Poms,2019,PG-13,90,Comedy,Zara Hayes,"Zara Hayes (story by), Shane Atkinson (story by), Shane Atkinson (screenplay by)","Diane Keaton, Jacki Weaver, Celia Weston, Alisha Boe","POMS is a comedy about a group of women who form a cheer leading squad at their retirement community, proving that you're never too old to 'bring it!'",English,"UK, USA",,36.0,5.7,2391,1,0.0,STXfilms,13.0,small,0
8925,Brightburn,2019,R,90,Drama,David Yarovesky,"Brian Gunn, Mark Gunn","Elizabeth Banks, David Denman, Jackson A. Dunn, Abraham Clinkscales","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",English,USA,Nomination,44.0,6.2,57711,1,0.0,Screen Gems,12.0,small,0
8932,The Dead Don't Die,2019,R,104,Comedy,Jim Jarmusch,Jim Jarmusch,"Bill Murray, Adam Driver, Tom Waits, Chloë Sevigny",The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,English,"Sweden, USA",Other Win,53.0,5.5,34005,1,0.0,Focus Features,61.0,big,0
8937,"The Gangster, the Cop, the Devil",2019,Not Rated,109,Action,Won-Tae Lee,"Won-Tae Lee (based on screenplay by), Won-Tae Lee (based on the film by), Won-Tae Lee","Dong-seok Ma, Mu-Yeol Kim, Kim Sungkyu, Gyu-ri Kim",A crime boss teams up with a cop to track down a serial killer.,"Korean, English","South Korea, USA",Other Win,65.0,6.9,3929,1,0.0,Well Go USA Entertainment,10.0,small,1
8938,A Violent Separation,2019,Not Rated,106,Crime,"Kevin Goetz, Michael Goetz",Michael Arkof,"Francesca Eastwood, Brenton Thwaites, Alycia Debnam-Carey, Ted Levine",Two brothers struggle with a terrible truth behind a tragedy that aims to tear three generations of a family apart.,,USA,,28.0,5.5,803,1,0.0,,,small,0
8940,John Wick: Chapter 3 - Parabellum,2019,R,131,Action,Chad Stahelski,"Derek Kolstad (screenplay by), Shay Hatten (screenplay by), Chris Collins (screenplay by), Marc Abrams (screenplay by), Derek Kolstad (story by), Derek Kolstad (based on characters created by)","Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne","John Wick is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","English, Russian, Japanese, Indonesian, Mandarin, Italian, Arabic, Latin",USA,Other Win,73.0,7.5,208723,1,0.0,Lionsgate,58.0,big,1
8943,Rocketman,2019,R,121,Biography,Dexter Fletcher,Lee Hall,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard",A musical fantasy about the fantastical human story of Elton John's breakthrough years.,English,"UK, Canada, USA",Other Win,69.0,7.4,87204,0,0.0,Rocket Pictures,1.0,small,1
8944,The Sun Is Also a Star,2019,PG-13,100,Drama,Ry Russo-Young,"Tracy Oliver (screenplay), Nicola Yoon (novel)","Yara Shahidi, Anais Lee, Charles Melton, John Leguizamo",A hopeless romantic ambivalent about his future in medical school falls for a hard-luck young woman who doesn't believe in love.,English,USA,Nomination,52.0,5.7,3493,1,0.0,Warner Bros. Pictures,138.0,big,0
8951,Port Authority,2019,Not Rated,94,Drama,Danielle Lessovitz,Danielle Lessovitz,"Fionn Whitehead, Leyna Bloom, McCaul Lombardi, Louisa Krause","Port Authority is a love story set in New York's kiki ballroom scene, and follows Paul, a 20 year old midwesterner, who arrives at the central bus station and quickly catches eyes with Wye,...",English,"USA, France",,69.0,6.7,190,0,0.0,Madeleine Films,1.0,small,1
8955,A Hidden Life,2019,PG-13,174,Biography,Terrence Malick,Terrence Malick,"August Diehl, Valerie Pachner, Maria Simon, Karin Neuhäuser","The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.","English, German, Italian","Germany, USA",Other Win,78.0,7.7,3071,0,0.0,Fox Searchlight Pictures,23.0,small,1
8956,The Lighthouse,2019,R,109,Drama,Robert Eggers,"Robert Eggers, Max Eggers","Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,English,"Canada, USA",Oscar Win,83.0,7.8,54356,1,0.0,A24,26.0,small,1
8958,Once Upon a Time... in Hollywood,2019,R,161,Comedy,Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,"English, Italian, Spanish","USA, UK, China",Other Win,83.0,7.8,318841,1,0.0,Columbia Pictures,24.0,small,1
8963,The Secret Life of Pets 2,2019,PG,86,Animation,"Chris Renaud, Jonathan del Val(co-director)",Brian Lynch,"Patton Oswalt, Kevin Hart, Harrison Ford, Eric Stonestreet","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",English,"USA, France, Japan",Nomination,55.0,6.5,34618,1,0.0,Universal Pictures,123.0,big,0
8966,Godzilla: King of the Monsters,2019,PG-13,132,Action,Michael Dougherty,"Michael Dougherty (screenplay by), Zach Shields (screenplay by), Max Borenstein (story by), Michael Dougherty (story by), Zach Shields (story by)","Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe","The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.","English, Japanese, Chinese, Spanish","Japan, Canada, USA",Other Win,48.0,6.1,104462,1,0.0,Warner Bros. Pictures,138.0,big,0
8967,Always Be My Maybe,2019,PG-13,101,Comedy,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong","Ali Wong, Randall Park, James Saito, Michelle Buteau","Everyone assumed Sasha and Marcus would wind up together except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder - maybe?",English,USA,Other Win,64.0,6.8,37159,1,0.0,Netflix,93.0,big,1
8982,X-Men: Dark Phoenix,2019,PG-13,113,Action,Simon Kinberg,"Simon Kinberg, Stan Lee (comic book created by), Jack Kirby (comic book created by), Chris Claremont (story ""The Dark Phoenix Saga""), John Byrne (story ""The Dark Phoenix Saga""), Dave Cockrum (story ""The Dark Phoenix Saga"")","James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.","English, French","USA, Canada",Nomination,43.0,5.8,118859,1,0.0,20th Century Fox,133.0,big,0
8984,Changeland,2019,R,86,Comedy,Seth Green,Seth Green,"Macaulay Culkin, Seth Green, Brenda Song, Rachel Bloom","While visiting Thailand, two estranged friends realize there's no rule book for finding purpose and meaning in life.","English, Thai",USA,,42.0,5.5,833,1,0.0,Gravitas Ventures,35.0,big,0
8990,Playmobil: The Movie,2019,PG,99,Animation,Lino DiSalvo,"Lino DiSalvo (story by), Blaise Hemingway (screenplay by), Greg Erb (screenplay by), Jason Oremland (screenplay by), Michael LaBash (storyline consultant)","Anya Taylor-Joy, Gabriel Bateman, Jim Gaffigan, Daniel Radcliffe",Animated feature film inspired by the Playmobil brand toys.,English,"France, Germany, China, USA, Nigeria, India, Canada, UK, Tanzania",,25.0,4.6,1781,0,0.0,STXfilms,13.0,small,0
8992,Toy Story 4,2019,G,100,Animation,Josh Cooley,"John Lasseter (original story by), Andrew Stanton (original story by), Josh Cooley (original story by), Valerie LaPointe (original story by), Rashida Jones (original story by), Will McCormack (original story by), Martin Hynes (original story by), Stephany Folsom (original story by), Andrew Stanton (screenplay by), Stephany Folsom (screenplay by), Josh Cooley (additional screenplay material by)","Tom Hanks, Tim Allen, Annie Potts, Tony Hale","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",English,USA,Other Win,84.0,7.9,143951,1,0.0,Disney/Pixar,5.0,small,1
8993,Men in Black: International,2019,PG-13,114,Action,F. Gary Gray,"Matt Holloway, Art Marcum, Lowell Cunningham (based on the Malibu comic by)","Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson","The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.","English, French, Chinese","China, USA",Nomination,38.0,5.6,81735,1,0.0,Columbia Pictures,24.0,small,0
8996,Murder Mystery,2019,PG-13,97,Action,Kyle Newacheck,James Vanderbilt (screenplay),"Adam Sandler, Jennifer Aniston, Luke Evans, Terence Stamp","A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","English, French",USA,Other Win,38.0,6.0,78131,1,0.0,Netflix,93.0,big,0
8999,Annabelle Comes Home,2019,R,106,Horror,Gary Dauberman,"James Wan (story by), Gary Dauberman (screenplay by)","Vera Farmiga, Patrick Wilson, Mckenna Grace, Madison Iseman","While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",English,USA,Nomination,53.0,5.9,43067,1,0.0,New Line Cinema,17.0,small,0
9009,Midsommar,2019,R,147,Drama,Ari Aster,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper",A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"English, Swedish","USA, Sweden, Hungary",Other Win,72.0,7.2,98327,1,0.0,A24,26.0,small,1
9012,Spider-Man: Far from Home,2019,PG-13,129,Action,Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by)","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","English, Italian, Czech",USA,Other Win,69.0,7.6,251977,1,0.0,Sony Pictures,90.0,big,1
9024,Crawl,2019,R,87,Action,Alexandre Aja,"Michael Rasmussen, Shawn Rasmussen","Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson","A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",English,"USA, Serbia, Canada",Nomination,60.0,6.2,42810,1,0.0,Paramount Pictures,79.0,big,0
9030,Fast & Furious 6,2013,PG-13,130,Action,Justin Lin,"Chris Morgan, Gary Scott Thompson (characters)","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.","English, Spanish, Russian, Japanese, Cantonese, Dutch","USA, Japan, Spain, UK",Other Win,61.0,7.1,354629,1,238700000.0,Universal Pictures,123.0,big,1
